66,68,80,24,94
96,36,41,18,60
68,75,49,54,92
71,8,16,17,87
36,78,79,51,22
1,36,74,45,80
96,15,80,54,55
0,66,36,44,49
68,70,46,85,55
0,68,36,46,55
39,72,54,87,92
68,73,75,46,55
0,66,11,18,58
64,71,46,80,49
97,41,74,45,82
5,10,78,47,22
70,46,49,54,92
38,72,74,45,47
37,7,15,25,28
4,8,22,58,59
97,71,72,47,60
68,43,46,81,19
96,41,43,49,82
96,36,11,19,24
66,68,43,46,55
97,35,41,79,89
40,49,19,21,24
96,64,42,49,18
97,39,78,49,89
8,11,54,55,92
43,18,52,87,89
42,43,47,54,92
96,97,4,78,22
58,40,15,57,26
68,46,82,53,55
36,5,51,19,24
70,71,39,87,94
68,74,45,46,55
66,41,42,51,22
38,79,18,22,89
70,40,80,17,85
37,7,28,93,94
96,1,82,83,53
66,36,5,16,83
66,68,70,46,55
68,46,85,55,92
41,47,15,82,18
66,78,47,54,92
81,49,50,83,21
40,57,26,93,94
70,43,81,85,21
0,38,39,72,79
33,3,40,21,26
40,18,55,25,61
35,41,42,43,82
68,43,46,80,55
99,75,49,89,94
5,41,47,80,51
97,99,5,11,94
41,42,82,18,94
0,39,71,43,16
1,36,71,44,49
37,7,43,19,28
64,97,0,46,54
83,53,58,60,94
70,46,18,85,55
41,79,54,24,92
0,5,11,49,83
96,66,4,38,18
64,0,66,49,22
0,96,73,49,83
99,11,54,24,92
68,46,82,86,55
1,37,43,49,28
68,46,20,21,55
38,8,72,78,16
68,70,46,55,89
37,70,7,43,28
66,75,80,54,92
66,68,46,18,55
64,0,11,47,89
38,78,80,18,22
5,40,81,21,87
97,8,16,22,57
96,1,43,76,24
1,43,46,18,55
37,40,20,26,28
0,35,43,25,61
96,66,46,18,22
96,68,46,21,55
78,46,18,54,55
40,75,53,24,93
68,41,46,15,55
36,10,78,49,22
66,37,75,82,58
41,43,79,80,54
36,37,71,19,28
40,20,54,57,26
68,71,46,17,55
0,97,36,5,75
1,72,74,45,53
0,36,80,21,93
68,46,85,55,57
96,22,87,92,94
36,40,49,26,94
43,78,20,85,58
1,36,5,18,60
1,10,43,20,89
66,99,76,79,53
96,1,99,43,20
71,49,58,59,93
36,11,58,59,60
0,64,97,49,24
35,40,41,43,49
37,7,28,54,92
0,36,5,20,57
99,68,46,83,87
68,70,46,81,55
66,18,54,89,92
96,66,36,46,80
68,70,46,85,55
8,46,16,55,58
1,36,43,46,80
0,39,71,43,87
39,43,44,15,20
71,47,49,87,94
38,39,78,79,80
66,68,46,18,55
43,75,15,53,57
0,5,43,79,49
26,38,39,47,58
39,49,54,58,92
75,85,54,55,92
11,47,49,89,58
7,79,49,54,92
96,49,17,52,24
68,46,81,51,55
66,17,53,54,92
68,45,46,18,55
3,36,10,75,43
33,71,46,49,18
33,8,46,53,55
39,10,78,22,58
68,75,46,54,55
96,1,43,57,26
99,11,79,83,59
96,1,43,81,20
39,40,79,15,24
96,68,10,83,55
3,4,71,43,21
68,46,54,55,92
68,54,55,92,94
66,75,46,49,89
72,8,79,16,22
70,10,19,51,55
97,36,5,7,60
0,96,36,5,25
75,49,54,22,92
35,71,18,24,93
97,8,74,16,86
33,68,46,51,55
68,70,46,85,55
1,37,15,93,94
68,40,46,18,55
0,99,45,20,22
96,75,46,17,55
68,46,80,21,55
3,41,82,19,55
71,46,80,87,94
0,36,72,43,49
99,5,47,80,55
37,7,46,78,55
68,46,54,55,92
70,43,81,21,85
68,43,46,18,20
37,7,46,81,19
40,43,57,26,28
33,68,46,19,55
64,68,46,18,55
39,49,83,87,55
42,43,18,54,92
1,71,49,57,60
33,70,40,55,26
97,36,41,49,82
43,47,81,19,21
96,78,18,22,55
68,70,43,46,85
66,68,36,7,46
68,46,54,55,92
97,38,47,22,55
36,68,70,20,85
64,36,71,39,87
37,7,81,28,94
43,47,54,22,92
71,76,81,52,24
1,5,71,83,93
33,41,49,82,94
96,43,50,20,55
64,66,39,83,26
96,1,3,73,81
37,7,46,18,55
43,47,80,81,49
97,36,71,15,60
97,66,5,41,22
8,45,46,16,22
66,41,15,16,79
74,45,16,82,89
96,35,49,24,60
71,87,24,59,94
36,5,74,45,49
72,41,45,82,58
96,43,46,81,55
97,78,54,22,92
46,81,49,51,21
5,37,7,10,28
0,68,5,46,55
66,75,45,78,58
96,11,75,54,92
37,70,17,82,85
64,75,49,89,57
72,11,47,49,26
96,40,24,26,61
99,75,43,80,58
96,68,46,22,55
68,46,55,87,61
5,11,44,79,58
36,5,51,19,25
11,54,86,22,92
97,44,87,60,61
0,5,70,73,85
0,5,39,41,44
0,39,71,43,60
0,68,41,46,55
68,46,47,18,55
37,7,43,17,18
0,71,82,87,94
68,46,55,25,58
68,37,40,46,55
0,36,5,52,25
96,66,74,78,20
68,4,46,51,55
1,68,41,82,53
68,46,54,55,92
68,41,46,82,55
37,7,71,87,28
66,8,74,45,78
96,40,57,26,60
33,40,51,57,26
71,43,87,25,61
96,97,72,8,16
75,83,24,57,26
36,74,76,20,94
1,66,70,49,85
10,78,79,54,92
68,70,40,80,85
68,38,46,47,55
0,47,49,83,87
71,39,46,49,87
1,42,82,85,60
36,40,10,20,21
64,41,75,43,82
5,40,43,15,26
96,33,66,18,94
36,70,42,80,82
0,71,39,87,94
97,99,35,41,82
96,75,43,18,54
79,80,18,54,92
39,41,82,87,94
38,10,76,47,83
37,38,39,75,47
96,18,20,55,89
38,71,76,47,82
64,11,75,60,94
64,1,79,80,49
96,36,42,57,60
68,72,11,46,55
37,19,20,21,55
96,68,7,46,55
68,70,46,55,94
37,7,40,54,28
70,43,80,19,85
96,70,41,82,24
1,43,20,58,59
66,45,53,22,58
5,7,20,21,55
68,80,82,21,55
1,99,37,18,24
0,41,74,44,25
66,78,54,22,92
66,40,80,22,58
5,71,40,73,21
1,43,81,20,26
96,73,50,52,24
1,68,75,17,20
0,36,5,40,73
0,1,36,5,43
64,96,41,82,58
78,54,22,24,92
96,43,75,47,20
64,0,39,41,11
96,37,7,26,28
40,46,49,57,26
0,7,41,44,58
96,3,73,76,60
1,43,80,24,60
38,41,83,58,94
96,46,55,24,60
68,70,46,85,55
41,75,49,82,89
68,43,46,81,20
0,70,18,19,21
70,11,47,18,55
96,81,18,51,21
0,66,36,74,45
33,68,46,20,55
41,43,54,55,92
0,79,86,89,94
4,71,43,25,93
96,1,68,43,47
0,66,68,46,55
60,79,20,54,92
96,0,5,71,55
36,68,46,55,28
40,43,49,57,26
0,33,5,70,57
0,5,54,25,26
4,74,45,78,49
5,78,18,83,22
96,40,18,57,26
0,96,68,46,55
1,36,54,59,92
5,74,44,46,55
1,43,20,85,57
96,43,79,47,18
68,46,81,18,55
68,75,46,55,24
1,5,37,83,20
33,36,43,80,21
96,66,36,5,24
96,36,71,57,26
68,70,40,80,26
96,80,86,54,92
96,68,40,46,55
5,39,49,21,93
0,97,36,74,58
40,10,18,57,26
43,54,55,25,92
41,11,78,82,60
64,15,47,89,58
78,15,22,58,92
66,75,49,18,89
5,39,74,43,45
0,71,39,87,94
37,7,16,28,61
68,46,79,55,94
66,36,5,74,45
1,68,72,75,55
0,3,74,52,94
68,46,54,55,92
37,7,43,82,28
96,4,80,18,83
96,64,20,57,26
35,68,46,18,22
38,80,51,54,92
68,46,17,20,55
70,71,19,85,21
66,38,47,54,92
74,43,45,47,58
96,66,78,18,22
71,74,75,47,89
0,3,80,49,50
37,7,41,82,28
0,66,36,4,18
5,41,82,83,94
41,42,82,57,94
0,68,38,76,55
37,7,40,57,26
66,36,41,82,55
46,80,18,19,55
38,72,79,52,94
68,7,46,17,55
66,39,74,45,78
68,70,50,85,54
71,81,51,87,94
96,68,46,54,55
36,76,18,85,55
5,39,87,58,94
64,33,35,81,82
39,74,15,83,58
43,45,79,20,24
96,18,51,54,92
41,17,82,53,87
97,4,41,79,58
64,71,74,87,94
36,7,43,81,28
36,43,47,58,60
96,71,79,57,26
33,70,10,43,18
5,46,17,54,87
37,7,43,58,28
96,36,37,7,28
36,5,10,17,52
64,66,40,47,89
66,43,49,18,22
44,78,47,54,92
1,43,20,85,55
96,0,78,15,22
0,5,78,25,58
66,68,46,52,60
71,43,76,87,61
0,4,5,85,21
96,68,20,54,92
66,68,46,21,55
46,17,19,21,94
66,68,46,85,55
41,43,15,18,82
68,5,46,21,55
68,5,46,55,57
36,5,46,55,60
68,46,15,85,55
0,39,71,49,87
96,36,5,43,20
96,38,47,18,22
96,36,38,46,47
0,96,40,57,26
0,36,5,72,51
96,8,41,82,18
68,46,54,55,92
68,10,46,78,55
64,33,36,40,78
96,80,49,18,17
0,36,15,83,57
64,35,36,80,22
96,43,18,55,28
37,7,81,17,28
68,70,46,85,55
0,66,39,78,22
70,10,85,24,61
96,36,15,19,25
96,74,45,58,94
68,75,22,55,58
38,39,42,47,17
