64,96,66,3,68,99,39,71,76,80,87,55,24,92,94
96,1,36,71,41,43,44,15,79,18,82,20,24,25,60
1,68,38,70,75,44,46,47,49,83,85,54,55,86,92
64,68,70,71,8,44,15,16,17,80,81,49,85,87,94
66,36,5,41,42,78,79,80,82,51,18,22,54,58,92
96,1,36,68,37,74,75,45,46,80,18,20,85,55,25
96,99,4,58,11,46,15,80,47,54,55,22,25,87,61
0,1,66,3,36,70,73,43,44,15,49,52,20,25,61
68,70,71,41,44,46,15,81,50,82,85,55,24,25,60
0,64,68,36,5,70,74,75,46,80,49,51,20,55,24
1,39,72,11,76,43,60,83,20,54,87,24,25,92,61
0,96,3,68,73,75,11,46,49,17,18,85,21,55,24
0,66,5,39,41,42,11,75,78,79,80,18,58,92,94
64,0,1,36,71,39,43,46,80,49,20,55,22,87,94
97,66,4,41,74,45,78,79,47,49,82,61,22,58,93
64,36,5,40,41,10,44,78,47,82,51,18,22,24,26
66,68,70,71,41,46,78,80,49,18,82,85,54,22,92
97,66,36,38,71,72,7,74,43,44,45,47,83,87,94
0,89,96,68,37,7,46,15,80,51,21,55,25,28,61
97,66,26,4,70,39,8,41,11,16,83,20,22,58,59
96,97,66,38,71,72,8,42,47,16,92,18,58,60,93
0,68,5,43,75,46,78,80,81,18,19,22,55,25,60
96,64,35,3,36,40,41,10,43,44,79,49,82,24,57
96,1,33,36,5,68,11,46,19,51,53,20,55,24,59
96,66,68,39,71,41,74,43,44,45,46,15,87,55,24
97,66,35,41,74,43,10,45,46,79,82,50,20,55,89
96,37,7,40,75,28,49,19,83,21,54,55,24,25,92
96,64,0,66,36,5,97,42,75,78,46,49,18,17,94
97,39,41,74,75,43,45,78,47,49,83,53,86,87,89
68,39,8,40,11,45,46,60,16,80,18,54,55,58,92
0,97,66,38,71,39,43,47,80,49,18,52,87,89,94
96,66,73,42,43,75,78,47,80,17,49,54,22,58,92
96,97,1,0,4,43,75,78,79,46,20,22,55,89,93
0,66,58,36,7,40,72,42,78,15,18,22,87,57,26
96,97,1,35,68,40,41,43,46,82,20,53,55,59,61
96,64,66,36,5,68,43,44,46,17,51,19,55,24,59
0,4,36,70,71,39,75,44,46,50,61,85,87,93,94
35,68,36,5,39,74,45,46,79,78,54,55,22,24,92
96,89,66,41,42,10,80,82,51,18,19,22,55,25,58
68,38,8,74,45,46,79,47,18,22,55,54,89,26,92
0,35,68,70,40,43,46,80,17,50,20,85,55,57,26
0,37,7,71,81,50,19,61,87,25,26,59,28,93,94
96,1,35,3,73,41,43,80,82,83,50,53,18,60,94
0,33,66,36,5,39,8,75,44,15,16,49,83,24,94
0,96,66,1,68,36,70,46,92,80,19,85,54,55,60
66,68,36,5,44,76,46,15,80,81,85,54,55,25,92
96,1,66,0,41,43,11,47,15,80,82,18,20,51,58
66,99,35,38,40,43,78,47,79,18,51,54,57,58,92
64,66,36,70,43,11,15,81,49,50,83,21,85,25,59
89,4,36,70,40,11,15,49,18,25,57,26,59,93,94
68,5,70,43,44,76,15,81,51,52,85,21,55,25,61
0,66,36,5,38,39,72,71,73,41,79,47,15,86,26
33,3,68,58,5,40,73,15,83,51,21,55,57,26,25
64,68,37,39,40,75,46,81,18,52,55,24,25,59,61
35,36,41,42,43,11,75,47,82,18,51,54,22,57,58
0,96,97,68,37,43,46,47,80,82,50,52,20,55,24
33,66,99,39,75,11,78,49,52,85,89,26,59,60,94
35,5,70,71,38,41,43,47,80,81,51,52,85,53,61
97,1,99,3,5,36,41,11,47,16,51,20,54,92,94
96,66,41,42,11,44,78,80,82,18,87,24,89,58,94
0,64,35,36,39,71,8,43,11,44,16,87,57,60,93
1,3,36,4,71,40,43,44,46,49,50,20,53,55,26
