66,68,80,55,24,94
96,36,41,18,20,60
68,75,49,83,54,92
70,71,8,16,17,87
36,41,78,79,51,22
1,36,74,45,80,20
96,4,15,80,54,55
0,66,36,70,43,49
68,70,41,85,55,25
68,36,75,46,80,55
39,72,11,54,87,92
68,73,75,46,55,24
0,66,42,11,18,58
64,71,46,80,49,20
97,41,74,45,79,82
5,41,10,78,47,22
70,46,49,22,54,92
38,72,74,43,45,47
0,37,7,15,25,28
4,8,20,22,58,59
97,38,71,72,47,60
0,68,43,46,81,19
96,41,43,49,82,24
96,1,36,11,19,24
96,66,68,43,46,55
97,35,41,79,82,89
40,49,19,83,21,24
96,64,36,42,49,18
97,39,75,78,49,89
8,11,54,55,58,92
71,43,18,52,87,89
96,42,43,47,54,92
96,97,1,4,78,22
58,40,72,15,57,26
68,46,82,20,53,55
96,36,5,44,19,24
70,71,39,87,93,94
68,36,74,45,46,55
66,41,42,82,51,22
38,79,47,18,22,89
70,40,80,17,50,85
37,7,19,28,93,94
96,1,80,82,83,53
66,36,5,39,16,83
66,68,70,46,54,55
68,46,85,54,55,92
96,41,47,15,82,18
66,38,78,47,54,92
43,81,49,50,83,21
40,15,57,26,93,94
70,43,81,51,85,21
0,38,39,72,71,79
33,3,40,15,21,26
68,40,18,55,25,61
35,41,42,43,82,18
68,43,46,80,55,24
99,75,49,89,60,94
5,41,47,80,51,85
97,99,5,41,11,94
41,42,82,18,58,94
0,64,39,71,43,16
1,36,71,44,49,50
37,7,43,19,21,28
64,97,0,68,46,54
8,83,53,58,60,94
68,70,46,18,85,55
41,79,82,54,24,92
0,5,39,11,49,83
96,4,38,75,18,24
64,0,66,11,49,22
0,96,73,49,83,25
99,11,54,55,24,92
68,41,46,82,86,55
1,37,7,43,49,28
1,68,46,20,21,55
38,8,72,78,16,87
68,70,46,85,55,89
68,37,70,7,43,28
66,75,80,18,54,92
66,68,46,18,22,55
64,0,96,11,47,89
38,42,78,80,18,22
5,40,81,51,21,87
97,33,8,16,22,57
96,1,37,43,76,24
1,68,43,46,18,55
37,7,40,20,26,28
0,35,43,50,85,61
96,66,78,46,18,22
96,68,46,51,21,55
68,78,46,18,54,55
40,75,53,21,24,93
68,41,46,15,82,55
66,36,10,78,49,22
66,37,41,75,82,58
0,41,43,79,80,54
36,37,71,19,26,28
40,43,20,54,57,26
1,68,71,46,17,55
0,97,66,36,5,75
1,72,74,11,45,53
0,36,80,52,21,93
68,46,85,55,57,60
96,78,22,87,92,94
36,40,49,26,60,94
43,78,20,85,86,58
