64,66,3,68,99,39,71,76,80,49,87,55,24,92,94
96,36,37,41,10,44,15,79,18,82,20,24,25,60,61
99,68,38,75,44,46,47,49,83,85,54,86,55,89,92
64,1,66,99,68,97,70,71,35,15,49,18,51,50,87
66,36,5,41,42,11,44,78,79,80,15,82,51,22,58
96,1,64,35,36,74,45,46,15,80,18,51,85,21,55
96,99,4,71,11,15,80,18,20,54,55,22,25,87,61
0,66,99,36,70,38,11,44,75,43,47,49,50,25,94
96,68,70,41,43,44,46,15,81,50,20,55,24,25,60
3,68,5,75,76,46,15,80,20,94,52,55,24,89,25
1,71,72,10,76,16,83,53,54,24,25,58,92,93,94
0,96,99,68,73,75,11,46,49,18,51,85,21,55,24
96,1,35,5,38,41,73,11,46,18,50,83,53,93,94
64,0,96,36,68,39,71,44,46,80,49,20,22,87,57
97,35,38,41,74,45,46,47,79,17,82,51,58,93,94
3,5,38,41,10,11,43,73,76,47,80,44,50,82,52
68,70,40,73,75,46,15,80,49,82,81,87,89,26,92
97,66,36,38,71,72,74,43,44,45,47,83,87,58,94
0,89,96,37,7,71,15,80,51,20,21,24,25,28,61
97,4,70,39,8,41,38,11,78,83,20,22,25,58,59
64,97,4,38,71,72,8,43,47,16,18,89,58,60,93
0,33,96,68,73,43,46,47,80,81,18,19,51,85,21
96,97,64,41,43,44,46,79,49,82,18,22,55,24,57
1,33,36,5,7,42,11,81,17,19,51,53,55,24,59
96,66,68,43,46,15,49,18,85,54,55,21,89,92,25
96,97,68,41,10,75,45,78,79,82,50,20,22,55,89
96,40,75,28,49,18,19,83,21,54,55,24,25,20,92
96,35,5,73,10,49,18,17,82,85,21,53,92,93,94
97,66,68,39,41,75,78,79,46,49,53,22,86,55,89
68,38,39,8,40,11,76,45,60,80,18,54,55,58,92
96,97,66,38,71,75,43,46,47,49,18,52,87,89,94
96,5,38,73,42,43,41,10,47,49,54,89,58,92,93
96,97,1,64,4,68,10,78,79,46,18,22,55,89,93
96,64,97,26,36,7,72,46,15,49,18,53,57,58,93
96,97,1,68,40,74,46,82,18,20,53,55,25,59,61
96,64,33,68,36,5,44,46,80,17,18,19,54,55,24
0,4,36,70,5,42,75,44,46,81,50,61,87,93,94
35,68,5,41,10,74,75,45,46,79,80,54,55,24,89
64,68,4,41,10,42,15,49,82,20,55,25,58,60,93
96,38,8,75,45,78,79,46,47,18,22,54,89,26,92
64,96,68,70,40,43,80,17,81,18,50,85,54,55,57
0,37,71,17,81,19,61,53,87,25,26,59,28,93,94
96,1,71,73,41,80,82,83,50,53,18,59,60,93,94
0,33,66,36,5,39,8,75,44,16,83,86,24,58,94
64,66,68,36,70,10,11,75,60,15,49,50,54,55,92
66,68,36,5,44,76,46,80,81,21,54,85,55,25,92
96,64,68,38,41,10,46,15,47,82,18,85,21,55,93
64,96,66,68,38,41,78,47,46,49,54,22,57,58,92
64,70,73,10,44,15,49,50,51,83,85,21,81,89,59
64,35,68,40,11,15,18,53,54,55,57,26,60,93,94
68,70,40,10,11,43,47,80,81,50,17,85,21,24,25
0,66,5,38,39,72,71,73,41,79,15,86,22,26,59
33,3,68,58,40,15,18,51,83,21,52,55,85,57,26
64,3,37,7,40,39,75,81,18,52,55,24,25,59,61
35,4,99,41,42,43,73,11,46,47,81,82,52,55,57
0,96,97,68,37,43,46,80,18,82,52,50,20,55,24
66,99,3,39,75,11,78,49,22,87,89,26,59,60,94
96,35,3,5,41,76,17,18,51,83,21,85,53,52,92
97,1,99,3,5,36,41,11,76,47,16,79,20,52,94
1,68,38,41,73,43,46,47,15,49,82,18,83,80,94
0,64,39,71,8,43,11,44,16,82,86,87,57,60,93
1,3,36,68,70,71,39,43,44,46,49,50,83,55,59
36,37,7,39,43,44,47,81,17,19,51,21,85,28,61
64,97,96,70,72,75,46,49,20,54,89,58,59,92,25
64,8,41,10,49,83,52,53,86,55,87,58,59,60,94
64,1,68,38,46,15,49,18,51,17,85,54,55,89,25
4,41,45,78,79,82,50,21,54,24,89,58,92,25,57
0,99,36,5,38,39,73,42,11,75,47,79,49,83,52
96,1,68,4,38,75,46,18,51,85,21,55,24,25,58
64,1,66,99,36,38,11,75,47,49,83,22,54,89,92
0,96,5,73,41,42,15,49,18,83,51,20,54,25,92
1,97,99,68,41,10,11,43,75,82,54,55,24,87,92
96,99,68,5,38,41,75,46,47,82,86,55,54,89,28
64,1,33,0,36,37,7,43,44,47,49,85,22,24,28
1,68,10,46,80,81,17,51,20,21,85,55,19,25,49
97,66,99,38,71,8,72,39,78,79,16,86,22,87,58
96,1,68,70,40,73,75,46,81,18,20,85,54,55,89
0,64,1,68,37,70,7,10,43,47,49,50,51,21,28
96,1,66,99,36,89,42,75,76,60,80,18,54,57,92
96,66,68,46,17,18,81,51,85,22,55,21,19,54,92
64,96,5,38,41,43,11,46,47,80,49,18,82,83,89
33,66,68,71,39,42,46,15,80,78,18,50,22,59,61
89,68,5,40,10,81,51,21,85,55,87,57,53,93,94
89,97,33,1,4,8,76,78,79,80,83,20,22,57,26
1,33,68,37,10,43,76,44,46,47,18,50,55,24,61
96,1,68,36,5,43,46,47,80,18,51,20,54,55,60
96,37,7,40,75,76,18,19,20,55,24,57,26,28,93
96,64,0,35,46,15,49,18,50,17,85,21,53,25,93
