24,94,55
36,60,15
75,92,54
64,18,68
36,22,79
1,36,45
80,54,15
0,49,36
68,70,55
68,46,55
72,58,92
18,68,55
96,18,46
49,39,71
41,82,45
10,38,47
89,49,46
72,74,45
15,37,7
78,4,22
97,38,47
80,81,19
96,49,82
24,19,36
66,54,55
97,41,79
24,49,21
96,49,18
89,78,49
11,92,54
89,43,87
43,92,54
97,22,79
57,58,15
82,68,46
36,5,55
93,70,87
68,46,55
64,68,55
96,18,22
40,57,85
93,37,94
96,82,53
66,83,36
66,68,55
68,85,46
82,18,15
66,92,78
83,85,21
40,57,26
10,21,70
0,72,39
33,26,3
40,25,61
41,82,43
80,43,68
89,49,75
96,18,85
97,5,94
82,68,46
0,39,71
1,36,49
19,43,37
64,97,46
58,83,60
18,85,46
41,92,79
11,49,83
68,46,55
64,49,66
0,73,83
24,11,92
82,86,55
49,43,37
51,20,21
16,8,86
70,68,46
43,37,70
75,92,54
66,18,55
89,38,47
18,68,46
40,5,55
97,22,78
24,43,76
18,43,55
40,26,37
96,64,46
96,93,46
68,46,55
18,54,55
93,60,53
41,68,15
10,43,15
66,75,37
80,96,54
19,37,71
40,26,54
17,68,71
0,97,75
1,74,53
80,36,44
57,68,85
89,49,94
49,26,36
43,20,78
36,5,60
96,10,20
99,76,79
96,43,20
49,58,71
58,11,36
0,49,64
49,43,41
64,49,54
0,36,44
96,99,83
18,68,55
66,92,54
96,66,46
68,70,55
8,58,55
80,1,36
0,43,87
20,44,15
49,87,71
22,79,39
18,68,46
43,75,15
0,49,79
58,38,39
49,92,54
92,85,54
49,10,46
92,7,79
24,49,17
81,51,68
66,92,54
18,68,46
75,43,36
49,18,71
33,53,55
58,38,22
75,68,55
43,55,47
11,99,79
96,43,20
40,24,15
83,68,55
1,43,21
68,54,92
94,92,54
66,75,46
72,78,22
19,81,51
97,60,36
0,36,5
92,54,22
24,10,93
16,8,72
51,68,55
85,46,55
1,37,94
40,68,55
0,99,22
89,17,75
80,21,46
41,82,19
80,94,87
72,58,46
96,18,55
66,37,7
92,54,55
43,85,70
18,20,46
80,81,19
40,26,43
33,19,68
64,18,46
49,83,87
96,18,54
1,49,71
40,33,26
41,82,36
19,43,21
96,68,55
43,85,47
89,68,46
92,54,55
97,38,22
36,85,70
64,71,39
81,94,7
92,54,22
24,81,71
1,93,71
96,49,64
50,43,55
49,83,39
96,81,1
18,37,46
80,81,47
97,60,15
97,10,49
8,46,22
66,92,79
16,89,74
49,35,60
71,94,87
64,36,5
72,41,58
96,43,47
68,46,55
96,81,51
96,89,85
0,68,5
79,78,22
96,75,54
17,37,85
89,75,49
43,38,47
24,26,61
80,75,43
18,68,55
61,46,87
49,53,93
51,19,36
54,92,22
60,61,44
0,73,10
18,68,55
0,39,71
0,41,68
68,46,47
17,18,7
0,87,71
68,46,55
40,26,68
0,36,5
96,66,78
51,46,55
82,68,55
46,54,55
41,82,46
7,87,71
45,78,22
57,60,55
40,57,26
68,54,55
72,68,55
26,75,83
36,20,94
49,21,85
10,92,22
80,40,68
46,38,47
49,87,47
49,46,39
51,60,85
20,36,21
41,82,75
40,46,15
96,33,64
80,82,36
71,94,87
41,82,97
96,54,46
46,54,79
82,94,39
10,43,47
75,38,39
89,18,46
82,38,47
99,64,75
80,49,1
36,5,60
11,68,55
51,20,21
68,46,55
94,46,70
28,37,7
80,19,70
24,82,10
1,43,20
66,53,22
7,5,55
82,68,55
75,18,99
64,68,46
64,49,55
80,58,46
73,21,71
81,20,1
24,73,52
17,20,68
0,36,5
0,36,5
96,41,82
49,85,54
96,75,47
64,11,46
37,46,55
57,26,49
0,41,7
96,18,60
96,1,80
46,58,38
24,60,46
10,68,70
75,68,55
81,20,46
80,18,70
64,55,47
18,51,46
0,74,46
33,68,55
41,92,54
89,86,79
43,93,71
1,18,68
66,68,55
92,60,79
96,87,71
36,46,55
40,26,43
0,68,55
49,54,55
49,74,4
96,49,83
18,46,55
68,46,55
1,92,54
96,38,47
1,43,57
96,43,47
81,21,46
24,68,55
1,83,37
33,43,47
49,68,55
96,57,26
40,26,70
96,18,80
96,18,46
96,46,55
0,46,55
57,18,10
92,54,55
41,82,11
58,38,47
85,93,22
89,18,75
74,45,39
39,71,87
68,46,55
22,94,79
66,5,74
72,75,55
74,3,52
68,54,55
43,47,7
96,18,4
96,26,64
54,49,46
80,92,54
17,68,46
81,21,71
66,92,54
74,45,47
96,18,53
75,71,47
0,50,80
82,37,7
0,66,36
83,5,94
41,82,94
0,76,55
40,26,7
41,36,55
80,18,46
72,94,79
17,68,7
74,66,78
40,68,70
71,94,87
96,46,55
18,36,85
89,18,10
81,68,55
58,74,15
54,46,55
18,93,46
17,82,53
97,58,41
74,94,87
43,36,7
58,60,47
57,71,79
96,18,43
64,17,19
54,46,55
96,28,46
17,36,5
64,40,47
18,68,46
96,92,54
25,43,20
96,22,15
89,49,47
68,46,60
18,43,47
0,4,21
18,20,92
21,46,55
46,17,94
51,85,46
82,46,15
21,5,46
57,68,55
36,46,55
51,85,15
0,49,87
96,43,5
47,38,22
36,38,47
0,26,40
72,36,5
8,82,18
46,92,54
10,78,22
40,36,78
96,18,46
83,36,15
80,35,36
64,43,47
81,37,17
10,68,70
66,78,39
10,93,46
81,19,36
10,68,55
58,75,22
89,49,39
80,51,92
96,18,66
66,18,68
96,1,18
96,18,46
41,82,99
18,51,85
66,4,55
68,46,55
60,46,55
97,20,21
96,49,18
80,43,47
24,68,39
37,20,5
49,83,43
