11,15,20,24,26,33,39,41,43,47,49,53,55,60,64,66,68,75,76,79,80,85,87,93,94
0,7,10,11,18,20,24,25,36,37,40,41,42,44,46,60,61,64,71,79,81,82,83,89,96
10,17,18,20,21,22,24,36,38,43,46,49,51,54,55,58,66,68,75,78,79,80,83,92,96
1,4,15,17,19,21,25,44,46,50,51,55,59,64,68,70,71,75,80,81,83,85,86,87,94
0,1,5,10,17,18,22,36,41,42,46,49,51,54,55,58,66,68,70,75,78,79,80,83,92
0,1,4,5,20,21,25,33,36,42,45,49,55,61,64,66,68,71,75,79,80,85,92,93,96
0,4,10,11,15,22,25,26,39,46,47,49,54,55,58,61,68,76,80,83,87,93,94,96,99
0,3,4,7,15,20,25,26,28,33,36,37,46,49,51,54,55,57,64,66,70,73,81,87,93
1,4,17,18,20,21,24,25,33,41,44,46,47,50,55,60,68,70,76,81,82,83,85,87,96
0,3,5,15,18,20,21,24,35,36,38,43,46,47,49,55,60,64,66,68,73,75,76,80,85
4,8,11,15,16,22,26,39,43,45,46,54,55,58,66,72,74,78,79,86,92,93,94,97,99
0,1,3,5,11,19,20,21,24,43,46,49,51,52,55,61,66,68,70,73,75,80,81,83,85
4,8,11,15,16,22,35,38,39,41,46,49,58,72,75,78,79,82,83,86,87,89,92,94,97
0,1,3,15,20,22,24,26,36,38,39,46,49,53,54,55,58,59,64,71,80,87,92,94,97
0,4,5,35,36,37,41,42,45,46,49,58,61,64,68,70,71,74,79,82,83,93,94,97,99
0,5,10,15,24,26,36,38,41,43,45,47,52,57,58,59,60,72,74,78,80,82,83,97,99
0,17,20,35,41,43,46,49,51,54,55,59,64,68,70,71,75,79,80,81,82,85,92,93,94
0,3,5,10,15,20,24,38,43,45,47,50,52,58,60,64,66,72,74,75,79,80,82,94,99
0,1,4,5,7,15,17,20,24,25,28,36,37,41,43,55,60,64,68,73,79,81,83,85,93
4,8,16,20,22,35,39,42,46,49,54,55,58,59,60,66,68,75,78,89,92,94,96,97,99
11,15,18,22,24,38,39,43,45,47,60,64,66,71,72,74,75,78,87,89,92,93,96,97,99
0,1,3,17,18,19,21,25,37,39,43,49,50,60,64,70,71,73,76,80,81,85,87,94,96
