33,68,43,75,79,87,24,60,93,94
96,0,36,71,41,18,20,24,25,60
96,75,46,80,49,18,51,54,22,92
70,71,44,15,80,17,19,21,85,87
68,36,10,75,46,79,22,55,54,92
64,1,36,68,45,80,49,85,55,92
96,4,15,80,83,54,55,22,26,94
0,33,66,64,36,70,49,51,20,55
96,33,68,70,18,20,21,85,55,24
36,5,68,75,46,15,80,18,20,55
72,8,74,11,45,78,16,22,54,94
66,68,5,73,43,75,81,51,19,55
38,39,41,11,78,79,16,82,89,58
64,71,39,46,80,49,54,58,92,94
0,97,35,41,45,49,82,83,93,94
36,5,74,43,45,78,15,47,57,26
35,70,71,41,46,79,49,82,85,54
64,0,72,74,75,45,47,79,15,24
1,36,5,37,7,43,15,20,85,24
96,66,99,4,75,16,54,22,89,94
97,38,72,74,43,45,78,47,22,87
0,70,71,43,81,19,21,85,25,94
0,96,99,49,82,18,20,54,26,92
68,5,70,81,18,19,21,85,55,24
96,66,68,43,46,15,18,54,55,57
97,41,79,15,82,87,89,58,59,60
1,36,5,71,43,81,49,17,21,85
64,0,97,36,79,92,49,82,18,60
72,74,11,45,78,16,49,22,89,58
72,74,11,78,16,22,54,57,26,92
64,0,1,33,5,71,85,89,60,94
96,66,39,41,75,47,80,79,18,89
64,97,8,11,79,49,87,58,93,94
58,8,74,45,78,15,16,79,57,26
33,68,70,43,46,81,21,55,26,60
36,41,46,17,18,82,20,85,55,60
3,70,71,15,85,21,87,25,93,94
97,39,72,74,43,45,79,47,57,26
96,35,40,47,80,18,51,19,82,54
99,68,41,43,75,47,79,18,82,22
37,7,40,80,17,81,19,51,85,28
33,1,3,36,37,71,40,43,44,28
96,64,1,68,41,46,82,53,55,24
64,66,36,5,10,74,45,16,83,58
96,64,66,68,70,43,46,54,55,92
35,68,36,46,18,51,19,85,54,55
35,68,41,43,46,15,82,18,55,60
66,38,10,75,28,78,83,54,22,92
96,4,68,39,71,46,85,87,24,60
0,64,5,40,41,43,47,82,89,60
68,70,80,81,17,19,51,21,20,55
0,99,36,39,72,16,49,22,58,94
1,40,75,43,82,20,85,55,24,57
0,68,70,71,40,52,21,25,60,57
35,41,75,43,47,80,49,82,83,20
1,36,5,68,10,43,80,49,54,55
99,71,75,47,49,18,83,89,60,94
33,5,43,80,81,49,51,20,21,85
0,1,66,97,5,74,49,18,83,94
39,71,41,47,15,82,83,26,60,94
97,99,58,71,39,75,83,87,26,94
1,36,70,43,46,81,49,83,55,24
1,37,70,7,40,43,44,19,85,21
96,97,64,71,8,10,11,78,46,94
99,36,47,79,16,83,53,87,58,60
64,1,68,46,17,18,51,85,55,60
66,35,41,75,79,92,82,83,18,60
0,35,36,11,45,47,49,82,83,94
4,38,74,75,42,45,78,47,18,58
64,66,68,43,45,47,49,22,58,92
64,68,36,37,46,18,83,85,55,26
64,96,68,71,75,11,20,54,24,92
1,36,37,43,46,82,20,86,55,24
1,35,37,70,41,43,49,82,20,24
64,68,36,81,18,49,20,21,87,55
97,66,38,39,8,72,78,16,22,87
1,99,68,70,40,75,46,81,87,89
0,33,37,70,7,5,43,21,24,28
96,66,68,40,75,46,54,55,22,92
66,68,10,46,17,18,22,55,54,92
64,1,41,43,11,47,49,89,58,60
0,66,38,10,78,79,80,51,22,86
33,5,70,40,10,81,85,21,87,57
97,99,39,8,41,78,15,16,82,22
5,7,40,43,47,17,19,85,21,28
1,68,70,10,43,81,18,20,55,24
37,7,40,73,43,47,81,17,20,28
96,1,64,0,68,71,43,46,18,24
66,4,70,46,49,18,20,21,92,94
96,68,38,43,75,46,47,80,18,55
96,68,75,78,80,18,54,55,86,92
68,71,75,80,49,53,87,55,93,94
68,70,40,41,75,43,46,15,18,55
97,36,41,43,47,80,49,82,54,89
66,37,7,10,75,80,54,24,58,92
64,96,41,10,43,79,80,49,18,54
37,5,71,40,73,17,19,20,87,28
66,68,40,46,18,85,54,55,22,26
33,71,40,10,75,80,18,19,51,55
0,97,36,5,38,75,43,50,83,26
97,38,74,45,78,47,16,79,87,26
36,5,76,80,83,20,85,53,24,93
33,68,70,40,46,85,55,57,26,60
64,35,71,75,11,47,54,87,92,94
0,1,26,36,49,87,57,58,60,94
96,64,36,43,78,47,18,83,20,24
96,36,5,70,76,49,83,20,24,60
36,5,68,10,46,81,19,20,21,24
99,4,8,11,78,46,49,22,54,94
96,43,46,49,18,20,54,55,92,94
0,71,43,60,80,49,54,87,92,94
97,36,72,41,11,49,82,83,58,59
0,64,1,97,36,5,49,50,52,24
33,1,40,41,43,80,49,21,85,57
37,7,40,43,15,80,83,57,26,28
0,97,36,5,40,83,20,52,57,60
97,66,99,38,75,78,15,46,83,60
96,68,70,10,46,80,81,20,55,60
66,38,75,78,18,54,22,89,92,57
96,66,68,70,75,46,17,18,85,55
