1,3,11,15,20,24,26,33,39,41,43,47,49,53,55,60,64,66,68,71,73,75,76,79,80,85,87,92,93,94
0,1,7,10,11,18,20,24,25,36,37,40,41,42,44,46,52,53,60,61,64,71,73,79,81,82,83,89,96,97
3,5,10,17,18,20,21,22,24,36,38,43,46,49,51,54,55,58,66,68,75,78,79,80,83,85,86,89,92,96
1,4,5,15,17,19,21,24,25,36,43,44,46,50,51,53,55,59,64,68,70,71,75,80,81,83,85,86,87,94
0,1,3,5,10,17,18,22,26,36,41,42,46,49,51,53,54,55,58,60,66,68,70,75,78,79,80,82,83,92
0,1,4,5,10,19,20,21,25,33,36,37,42,45,46,49,55,60,61,64,66,68,71,75,79,80,85,92,93,96
0,4,10,11,15,22,25,26,38,39,46,47,49,54,55,58,61,64,68,71,72,76,80,83,87,92,93,94,96,99
0,1,3,4,5,7,15,17,20,25,26,28,33,36,37,46,49,51,54,55,57,64,66,70,73,81,85,87,93,94
1,4,17,18,19,20,21,24,25,33,36,38,41,44,46,47,50,55,60,68,70,73,76,79,81,82,83,85,87,96
0,3,5,10,15,18,20,21,24,25,33,35,36,38,40,43,46,47,49,55,60,61,64,66,68,73,75,76,80,85
4,8,11,15,16,22,26,35,39,43,45,46,49,53,54,55,58,66,68,72,74,75,78,79,86,92,93,94,97,99
0,1,3,5,11,17,19,20,21,24,43,46,49,51,52,55,61,66,68,70,73,75,76,80,81,83,85,92,96,97
4,8,11,15,16,22,26,35,38,39,41,42,46,49,53,58,66,68,72,75,78,79,82,83,86,87,89,92,94,97
0,1,3,15,20,22,24,26,36,38,39,46,47,49,52,53,54,55,57,58,59,64,68,71,80,83,87,92,94,97
0,4,5,21,24,35,36,37,41,42,45,46,49,58,60,61,64,66,68,70,71,74,75,79,82,83,93,94,97,99
0,5,10,15,16,22,24,26,36,38,41,43,45,47,52,57,58,59,60,72,73,74,76,78,79,80,82,83,97,99
0,1,17,18,19,20,35,41,43,46,49,51,54,55,59,64,68,70,71,75,79,80,81,82,83,85,92,93,94,99
0,3,5,10,15,16,20,24,25,36,38,43,44,45,47,50,52,58,60,64,66,68,72,74,75,79,80,82,94,99
0,1,4,5,7,15,17,20,21,24,25,28,36,37,41,43,47,55,60,64,68,73,75,76,79,81,83,85,89,93
4,8,16,18,20,22,35,39,41,42,46,49,54,55,58,59,60,66,68,72,75,76,78,79,89,92,94,96,97,99
3,11,15,16,18,20,22,24,38,39,43,45,46,47,58,60,64,66,71,72,74,75,78,87,89,92,93,96,97,99
0,1,3,11,17,18,19,20,21,25,28,37,39,43,49,50,52,60,61,64,70,71,73,76,80,81,85,87,94,96
0,11,18,20,22,24,26,35,36,40,41,43,44,46,49,52,54,57,58,64,71,73,79,80,82,85,87,92,96,99
1,5,11,17,18,19,21,24,28,33,36,41,42,46,49,51,53,55,59,60,66,68,70,75,79,81,85,87,89,99
1,7,15,18,20,21,24,26,33,37,38,40,43,46,53,54,55,57,58,60,66,68,75,78,79,80,83,92,93,96
0,8,10,15,16,20,24,25,36,41,44,45,47,50,58,59,60,61,64,68,72,74,75,78,79,82,83,87,89,97
0,1,5,17,18,19,20,21,24,28,36,40,43,44,46,49,55,58,60,70,71,73,75,80,81,83,85,87,92,96
0,4,10,11,15,18,20,22,24,25,35,36,41,46,49,57,60,64,66,68,71,76,79,82,83,89,92,93,97,99
8,11,16,22,24,26,38,39,41,45,46,47,49,53,57,58,60,61,66,72,74,75,78,80,83,86,87,89,97,99
8,10,11,15,16,18,22,26,36,39,40,41,45,49,54,55,57,58,60,64,66,72,74,78,80,83,92,93,94,97
0,1,5,10,18,20,24,33,36,43,46,47,50,52,58,60,61,64,68,70,71,75,83,85,87,89,93,94,96,97
7,10,18,28,38,39,41,42,43,47,49,50,54,58,61,66,70,71,73,75,78,79,80,82,86,89,92,94,96,97
0,1,4,5,8,10,11,16,20,22,24,39,49,52,58,60,61,64,71,72,78,79,83,86,87,89,93,94,96,97
0,3,4,7,8,15,16,22,26,28,36,37,45,46,47,53,57,58,66,68,71,72,74,78,79,83,85,89,94,97
0,18,19,20,21,24,25,26,28,33,35,36,37,40,41,43,46,50,53,55,57,59,60,61,68,70,81,82,85,93
1,4,5,10,11,15,17,18,19,20,21,24,25,28,36,41,42,44,46,55,59,60,64,68,70,76,81,82,83,85
0,3,4,15,20,21,24,25,33,36,42,43,44,46,47,50,52,53,61,64,70,71,75,80,81,85,86,87,93,94
0,3,4,8,10,16,20,26,36,37,39,43,44,45,47,50,52,57,58,61,71,72,74,78,79,83,86,89,97,99
3,7,10,17,18,19,21,22,24,26,28,35,37,38,40,43,47,49,51,54,70,79,80,81,82,86,89,92,96,99
4,7,11,15,18,22,28,37,38,41,43,46,47,53,55,58,60,64,66,68,75,78,79,82,83,89,92,96,97,99
0,1,3,7,17,19,20,24,25,26,28,33,35,37,40,43,46,50,51,52,61,64,68,70,73,75,80,81,85,93
0,1,3,7,19,20,21,25,26,28,33,36,37,40,43,44,50,52,53,59,61,64,70,71,73,81,85,87,93,94
0,1,3,10,18,24,37,40,41,43,46,47,50,53,55,59,60,64,66,68,73,75,80,81,82,83,85,89,94,96
