33,43,75,79,24,60,94
96,36,71,41,18,24,60
96,75,80,18,54,22,92
70,71,17,19,21,85,87
68,36,75,22,55,54,92
64,1,36,45,80,49,92
96,15,80,83,54,55,94
0,33,66,36,49,51,20
96,33,68,70,18,21,24
36,5,68,46,15,80,18
72,74,45,78,16,22,54
66,68,43,81,51,19,55
38,41,11,78,79,82,58
71,39,49,54,58,92,94
0,97,41,45,49,82,83
5,74,43,45,15,47,26
35,70,46,79,49,82,85
64,0,74,45,47,79,15
36,5,37,7,43,20,24
66,99,16,54,22,89,94
97,38,74,45,78,47,22
70,71,81,19,21,85,94
0,99,49,82,18,54,26
68,70,19,21,85,55,24
96,66,68,46,18,55,57
97,41,79,15,82,89,58
1,36,5,71,43,81,21
64,0,36,79,49,82,60
72,74,11,45,78,16,22
72,74,16,22,54,57,92
64,0,1,5,85,89,60
96,39,47,80,79,18,89
64,97,8,11,49,87,94
8,74,15,16,79,57,26
33,68,70,43,46,21,55
36,41,46,18,82,85,55
3,70,71,15,87,25,94
39,74,45,79,47,57,26
96,35,40,18,51,19,54
99,41,43,75,47,18,22
7,40,17,19,51,85,28
33,1,3,37,71,43,28
96,64,41,46,53,55,24
64,66,36,5,16,83,58
96,66,68,70,46,55,92
35,68,36,18,51,19,85
35,41,43,46,15,82,60
66,10,28,78,54,22,92
96,4,39,85,87,24,60
5,40,41,47,82,89,60
68,70,81,19,51,21,55
0,36,39,49,22,58,94
1,40,75,43,85,24,57
0,70,71,52,21,25,57
41,75,47,80,49,82,20
1,36,5,10,43,49,55
75,47,49,18,83,89,94
33,5,80,81,49,51,21
0,1,66,97,49,83,94
39,41,47,15,82,26,94
97,71,75,83,87,26,94
1,43,46,81,83,55,24
37,70,40,43,19,85,21
96,97,64,71,8,10,78
36,47,79,83,87,58,60
1,68,46,18,85,55,60
66,35,75,79,92,83,60
35,11,45,49,82,83,94
4,38,74,45,78,47,18
64,66,43,47,49,58,92
64,68,36,46,18,55,26
64,68,71,75,11,20,54
1,36,37,43,46,55,24
35,41,43,49,82,20,24
68,81,18,49,20,21,55
66,38,39,8,72,16,22
68,70,40,46,81,87,89
33,37,70,7,5,43,28
96,68,75,46,54,55,22
66,68,10,46,18,55,92
64,41,43,47,49,89,60
66,38,10,78,79,80,22
33,5,70,40,10,85,57
97,8,41,78,15,82,22
40,43,47,17,19,85,28
1,68,70,10,43,18,55
37,40,73,43,47,81,17
96,1,68,71,43,18,24
4,70,46,49,18,92,94
68,38,43,46,47,18,55
68,75,78,18,54,55,92
68,71,49,53,87,55,94
70,40,75,46,15,18,55
36,41,47,80,49,54,89
66,7,10,75,80,54,24
64,96,10,43,80,49,54
37,5,71,40,17,19,87
68,46,18,85,54,55,26
33,71,40,75,18,19,51
0,97,36,38,75,83,26
97,38,74,47,16,79,87
36,5,80,83,20,24,93
33,68,40,46,85,55,57
75,11,47,54,87,92,94
0,26,36,49,87,57,58
96,64,36,78,47,18,24
36,5,70,49,83,20,24
36,5,10,81,19,21,24
99,8,11,78,49,22,94
96,46,18,54,55,92,94
0,71,43,49,87,92,94
97,36,41,11,49,82,58
0,64,1,36,5,49,24
33,40,41,43,49,21,85
37,7,40,15,80,26,28
0,36,5,40,20,52,57
97,66,38,75,78,15,83
96,68,70,46,80,81,55
66,75,54,22,89,92,57
66,68,70,17,18,85,55
96,1,68,70,43,85,55
97,68,71,8,16,55,94
1,36,46,80,83,24,60
0,1,43,20,55,87,60
64,0,36,5,44,15,20
66,39,75,49,18,89,92
39,71,47,79,89,58,94
66,68,75,46,18,22,55
43,75,47,15,89,26,60
0,97,36,5,39,79,49
38,39,41,43,47,89,58
64,71,49,18,22,54,92
96,68,46,49,18,85,92
41,74,11,79,49,89,58
96,66,99,68,47,79,22
0,43,49,85,54,24,92
33,68,81,19,51,85,55
96,33,66,68,46,18,21
1,68,45,46,18,82,51
64,36,41,43,45,47,83
71,49,18,51,20,55,87
33,68,43,47,15,55,58
43,78,79,18,22,89,58
68,75,46,18,54,55,89
1,68,43,18,20,57,26
99,36,72,41,11,49,58
96,1,43,15,49,20,24
