24,68,94,55
96,36,60,15
49,75,92,54
64,49,18,68
78,36,22,79
80,1,36,45
80,55,54,15
0,49,66,36
24,68,70,55
89,68,46,55
72,58,92,54
73,18,68,55
96,18,93,46
64,49,39,71
41,82,45,97
10,11,38,47
89,49,46,70
72,74,45,47
25,15,37,7
78,59,4,22
97,43,38,47
80,81,19,43
96,49,82,43
24,11,19,36
66,68,54,55
89,97,41,79
24,49,19,21
96,49,18,10
89,39,78,49
11,92,54,55
89,18,43,87
43,92,54,47
97,78,22,79
57,58,46,15
82,68,53,46
36,5,46,55
94,93,70,87
68,45,46,55
64,10,68,55
96,78,18,22
40,57,85,17
19,93,37,94
96,1,82,53
66,83,36,5
66,68,54,55
54,68,85,46
41,82,18,15
54,66,92,78
50,83,85,21
40,57,26,94
10,50,21,70
0,72,38,39
33,26,3,21
40,25,61,55
41,82,43,35
80,43,68,55
89,49,75,94
96,18,21,85
97,99,5,94
94,82,68,46
0,43,39,71
1,36,71,49
19,21,43,37
64,97,46,54
58,83,60,53
18,85,46,55
24,41,92,79
11,49,83,0
96,68,46,55
64,49,66,22
0,73,83,49
24,11,92,54
82,68,86,55
49,43,37,1
51,20,21,55
16,8,72,86
89,70,68,46
0,43,37,70
66,75,92,54
66,18,22,55
64,89,38,47
18,68,46,15
40,68,5,55
8,97,22,78
24,1,43,76
1,18,43,55
40,26,28,37
96,18,64,46
96,38,93,46
10,68,46,55
78,18,54,55
93,75,60,53
41,68,55,15
80,10,43,15
66,75,58,37
80,43,96,54
19,28,37,71
40,26,54,55
17,68,1,71
0,97,75,46
72,1,74,53
80,36,93,44
57,68,85,60
89,49,94,87
49,26,36,94
58,43,20,78
18,36,5,60
96,89,10,20
99,76,53,79
96,18,43,20
49,58,59,71
59,58,11,36
0,49,64,24
40,49,43,41
64,49,85,54
0,36,5,44
96,99,83,46
18,68,46,55
89,66,92,54
96,66,80,46
46,68,70,55
8,58,46,55
80,1,36,46
0,58,43,87
96,20,44,15
49,47,87,71
38,22,79,39
18,68,66,46
43,75,57,15
0,49,46,79
58,47,38,39
49,58,92,54
75,92,85,54
89,49,10,46
92,7,54,79
24,49,52,17
81,51,68,46
17,66,92,54
18,68,45,46
10,75,43,36
49,18,33,71
33,53,46,55
58,39,38,22
18,75,68,55
43,55,46,47
11,59,99,79
96,43,20,47
40,24,79,15
83,68,54,55
3,1,43,21
46,68,54,92
94,92,54,55
49,66,75,46
72,78,22,16
19,81,51,17
97,60,36,7
0,96,36,5
75,92,54,22
24,10,53,93
16,8,72,86
33,51,68,55
35,85,46,55
1,93,37,94
40,18,68,55
0,99,45,22
89,17,75,19
80,21,46,55
41,82,19,55
80,71,94,87
72,49,58,46
96,18,54,55
66,18,37,7
92,68,54,55
21,43,85,70
18,20,46,55
80,81,19,33
40,26,43,28
33,19,68,76
64,18,96,46
49,83,39,87
96,18,85,54
1,49,57,71
40,33,26,70
41,82,36,49
19,43,85,21
96,18,68,55
21,43,85,47
89,18,68,46
46,92,54,55
97,55,38,22
20,36,85,70
64,36,71,39
81,55,94,7
78,92,54,22
24,81,10,71
1,83,93,71
96,49,64,94
96,50,43,55
64,49,83,39
96,81,18,1
18,37,46,47
80,81,21,47
97,60,71,15
97,10,85,49
8,46,45,22
66,92,78,79
16,89,74,45
24,49,35,60
24,71,94,87
64,36,5,54
72,41,58,82
96,18,43,47
