66,68,80,55,24,94
96,36,41,15,18,60
99,68,75,49,54,92
64,68,15,49,18,87
36,41,78,79,51,22
1,36,45,80,85,55
96,4,15,80,54,55
0,66,36,70,44,49
68,70,41,55,24,25
68,46,15,55,89,25
72,10,54,58,92,93
68,73,75,18,55,24
96,38,46,18,53,93
64,39,71,46,80,49
97,41,74,45,46,82
5,38,41,10,11,47
70,75,46,15,49,89
38,72,74,43,45,47
0,37,7,15,25,28
4,8,78,22,58,59
97,38,71,72,43,47
33,43,46,80,81,19
96,41,43,49,82,18
1,36,5,11,19,24
66,68,43,46,54,55
97,41,75,79,82,89
40,49,19,83,21,24
96,10,49,18,85,93
66,39,78,79,49,89
8,11,54,55,58,92
75,43,18,52,87,89
96,42,43,47,54,92
97,4,78,79,22,89
26,72,46,15,57,58
68,46,82,18,20,53
68,36,5,46,19,55
70,75,44,87,93,94
68,10,45,46,54,55
64,68,10,49,55,93
96,78,79,18,22,89
40,80,17,85,55,57
37,19,53,25,93,94
96,1,80,82,83,53
66,36,5,39,16,83
66,68,70,10,54,55
68,46,21,54,85,92
41,46,15,82,18,55
66,38,78,54,22,92
49,50,51,83,85,21
40,55,57,26,93,94
70,40,10,50,85,21
0,38,39,72,71,79
33,3,68,15,21,26
40,18,55,25,59,61
35,41,42,43,82,57
68,43,80,18,55,24
99,75,49,89,60,94
96,18,51,21,85,53
97,99,5,41,11,94
68,41,46,82,18,94
0,64,39,71,43,16
1,36,71,44,49,50
37,43,44,81,19,21
64,97,46,20,54,89
8,83,53,58,60,94
68,46,18,51,85,55
41,78,79,24,89,92
0,5,39,11,49,83
96,68,46,18,85,55
64,66,11,49,22,92
0,96,73,49,83,25
99,11,54,55,24,92
68,41,82,86,55,54
64,1,33,37,43,49
68,46,51,20,21,55
38,8,72,78,16,86
68,70,46,81,55,89
0,37,70,10,43,21
66,75,80,18,54,92
66,68,17,18,22,55
64,38,46,47,49,89
68,71,46,15,18,50
68,5,40,10,81,55
97,33,8,78,22,57
1,37,43,76,47,24
96,1,43,18,20,55
37,7,40,20,26,28
96,64,46,49,18,93
96,38,46,53,25,93
68,10,46,47,55,89
46,78,18,54,55,92
40,75,53,24,60,93
68,41,46,15,55,57
5,73,10,43,15,80
66,37,41,75,82,58
96,41,43,79,80,54
36,37,71,19,26,28
68,40,46,54,55,26
1,68,71,17,19,87
0,97,5,75,46,18
1,3,72,74,11,53
0,36,44,80,21,93
68,76,20,85,57,60
38,47,49,87,89,94
36,41,49,26,60,94
43,78,20,85,25,58
64,1,36,5,18,60
96,10,46,20,55,89
66,99,11,76,79,53
96,99,71,43,18,20
71,49,53,58,59,93
36,39,11,58,59,60
0,64,97,49,24,25
68,40,41,43,49,55
64,49,51,21,85,54
0,36,5,44,46,20
96,99,68,46,83,87
68,70,46,81,18,55
66,46,54,55,89,92
96,66,36,46,80,53
68,70,46,50,54,55
8,75,46,79,55,58
0,1,36,5,46,80
0,10,43,87,24,58
96,68,70,44,15,20
71,39,47,49,87,94
64,38,39,79,80,22
66,99,68,46,18,55
43,75,15,53,57,92
0,96,46,79,49,18
26,38,39,10,47,58
39,41,49,54,58,92
75,51,21,85,54,92
10,46,49,85,21,89
7,39,79,49,54,92
38,73,49,17,52,24
68,70,46,81,19,51
66,17,19,53,54,92
96,68,45,46,18,55
3,36,10,75,43,44
33,71,39,46,49,18
33,8,42,46,53,55
38,39,72,41,22,58
99,68,75,18,54,55
68,43,46,47,55,57
96,99,11,79,53,59
96,0,43,47,81,20
96,39,40,79,15,24
68,10,49,83,54,55
1,3,71,43,51,21
68,46,18,54,55,92
68,55,54,87,92,94
66,75,46,49,89,92
72,8,78,79,16,22
33,80,81,17,19,51
64,97,36,5,7,60
0,96,36,5,15,25
99,75,49,54,22,92
35,10,53,24,60,93
96,8,72,46,16,86
33,68,46,18,51,55
1,35,46,51,85,55
0,1,37,15,93,94
68,40,81,18,54,55
0,99,44,45,20,22
96,99,75,17,19,89
66,46,80,51,21,55
33,3,41,82,19,55
71,7,46,80,87,94
72,46,47,49,25,58
96,49,18,54,55,89
66,37,7,78,18,55
68,11,18,54,55,92
68,70,43,81,21,85
4,46,17,18,20,55
33,73,80,81,19,21
37,40,43,57,26,28
33,68,76,46,19,55
64,96,68,46,49,18
39,46,49,83,55,87
96,18,51,21,85,54
1,71,39,49,57,60
33,68,70,40,10,26
97,36,41,49,82,89
43,47,81,19,85,21
96,68,10,75,18,55
35,43,47,51,21,85
68,7,71,46,18,89
46,15,85,54,55,92
64,97,38,44,22,55
36,70,75,76,20,85
64,36,71,39,49,87
68,7,81,87,55,94
68,78,54,55,22,92
71,39,10,81,87,24
1,5,71,49,83,93
96,64,49,18,82,94
96,43,50,20,55,93
64,66,39,49,83,26
96,1,73,81,18,51
37,38,46,47,18,24
43,47,80,81,85,21
97,36,71,43,15,60
97,10,49,51,21,85
66,8,74,45,46,22
66,41,78,79,22,92
64,74,45,16,82,89
1,33,35,49,24,60
64,71,87,24,59,94
64,36,5,74,49,54
38,72,41,45,82,58
96,43,46,47,18,55
68,10,46,54,55,92
96,81,18,51,19,49
96,47,51,21,85,89
0,68,5,18,55,94
38,75,78,79,22,58
96,11,75,18,54,24
35,37,76,17,82,85
64,99,75,49,89,57
38,72,11,43,47,49
10,47,24,25,26,61
99,75,43,47,80,58
96,68,46,18,54,55
72,76,46,87,59,61
35,99,11,49,53,93
36,5,44,51,19,25
11,54,86,22,92,61
97,10,44,87,60,61
0,64,5,70,73,10
68,5,10,18,54,55
0,68,39,71,46,60
0,1,68,36,41,11
68,46,47,17,18,55
37,7,43,17,18,89
0,71,49,82,87,94
64,68,46,54,55,58
68,37,40,46,49,26
0,36,5,44,52,25
96,66,74,78,20,61
99,4,46,51,54,55
1,68,82,53,55,59
46,80,18,54,55,92
