3,21,24,38,39,40,44,46,49,55,64,66,68,70,71,75,76,80,82,83,87,89,92,94,99
5,10,15,18,20,21,24,25,36,37,41,44,46,60,61,64,66,71,73,79,81,82,85,96,99
1,18,21,25,35,38,44,46,47,49,51,53,54,55,61,68,70,75,81,83,85,86,89,92,99
1,3,8,11,15,16,17,18,35,45,49,50,51,52,55,64,66,68,70,71,87,94,96,97,99
4,5,11,15,22,33,36,37,38,41,42,44,49,51,58,61,64,66,72,73,76,78,79,80,82
1,11,15,17,18,21,25,35,36,45,46,49,51,53,55,64,68,74,75,80,81,85,89,93,96
4,11,15,18,20,22,25,39,46,47,49,54,55,58,61,68,71,72,78,80,87,93,94,96,99
0,1,11,15,20,25,36,38,40,43,44,47,49,50,51,52,53,59,61,66,70,75,76,94,99
15,18,20,21,24,25,36,38,41,43,44,46,47,50,55,59,60,68,70,71,80,81,82,85,96
3,5,15,18,20,24,25,36,40,46,51,52,55,61,68,72,73,74,75,76,79,80,89,94,97
1,8,10,11,16,20,24,25,26,39,40,53,54,58,60,61,66,71,72,76,83,87,92,93,94
0,5,10,11,17,18,21,24,35,42,46,49,51,55,59,68,70,73,75,76,81,85,89,96,99
0,1,4,5,11,18,35,36,38,41,42,44,46,50,53,58,66,70,73,79,82,83,93,94,96
0,16,20,21,22,36,39,44,46,49,50,57,59,61,64,68,70,71,78,79,80,85,87,94,96
4,17,22,26,33,35,36,38,41,45,46,47,49,51,58,61,68,74,78,79,82,87,93,94,97
3,5,10,11,22,26,36,38,40,41,43,44,45,47,50,52,58,59,64,73,74,76,78,80,82
15,22,26,33,35,40,41,46,49,54,57,68,70,71,73,75,78,79,80,81,82,87,89,92,94
1,4,7,17,36,37,38,43,44,45,47,49,50,54,58,59,66,70,71,72,74,83,87,94,97
0,7,15,17,19,20,21,24,25,28,37,46,51,54,55,61,64,68,71,75,80,81,85,89,96
4,8,10,11,20,22,25,26,38,39,40,41,49,58,59,61,68,70,78,82,83,89,94,96,97
4,8,16,18,26,35,38,39,42,43,46,47,53,58,60,64,71,72,79,82,87,89,93,96,97
0,1,5,18,19,21,25,33,35,43,46,47,51,55,60,64,68,71,73,75,80,81,85,96,99
1,10,18,22,24,26,36,41,43,44,46,47,49,54,55,57,59,64,68,78,79,82,89,96,97
1,5,7,11,17,19,20,24,25,33,36,42,44,51,53,55,59,60,61,73,74,80,81,93,99
1,3,15,17,18,21,24,25,41,43,46,49,52,54,55,58,66,68,71,75,85,89,92,94,96
0,8,10,18,20,22,41,43,45,46,50,55,59,68,70,71,74,75,78,79,82,87,89,96,97
11,18,19,20,21,24,25,28,40,49,51,53,54,55,57,59,61,75,81,83,85,89,92,93,96
4,5,10,17,18,19,21,35,39,42,49,53,60,64,66,73,81,82,85,87,89,92,93,94,96
10,18,22,38,39,41,46,47,49,53,54,55,66,68,75,78,79,83,86,87,89,94,96,97,99
5,8,11,15,16,18,25,26,38,39,40,41,45,46,54,55,58,60,64,68,72,74,76,80,92
