3,24,38,39,46,49,55,64,66,68,71,75,76,80,82,83,87,92,94,99
5,10,15,18,20,24,25,36,37,41,44,60,61,64,71,79,81,82,96,99
1,18,21,38,44,46,47,49,51,54,55,61,68,75,83,85,86,89,92,99
1,8,11,15,16,18,35,49,50,51,55,64,66,68,70,71,87,94,97,99
4,5,11,15,22,33,36,41,42,44,51,58,64,66,72,76,78,79,80,82
1,15,18,21,25,35,36,45,46,49,51,55,64,68,74,80,85,89,93,96
4,11,15,18,20,22,25,39,47,49,54,55,58,61,71,78,80,87,96,99
0,1,11,20,25,36,38,43,44,47,49,50,52,61,66,70,75,76,94,99
15,18,20,24,25,38,41,43,44,46,50,55,60,68,70,71,80,81,82,96
3,5,15,20,24,25,36,40,46,51,52,55,61,68,75,76,79,80,89,94
1,8,10,16,20,24,25,40,53,54,58,61,71,72,76,83,87,92,93,94
0,5,10,11,17,18,21,24,46,49,51,55,68,73,75,76,85,89,96,99
1,4,5,11,18,35,38,41,42,44,46,50,53,70,73,82,83,93,94,96
0,16,20,21,22,36,39,44,46,49,50,57,61,64,68,71,79,80,87,96
4,17,35,36,38,41,45,46,47,51,58,61,68,74,79,82,87,93,94,97
3,5,10,11,22,36,38,40,41,43,44,47,50,52,59,73,76,78,80,82
15,22,26,35,40,41,46,49,54,68,70,73,75,79,80,81,82,87,89,92
1,4,7,36,38,43,44,45,47,50,58,59,66,71,72,74,83,87,94,97
0,7,15,19,20,21,24,25,28,37,46,51,55,61,68,71,80,85,89,96
4,8,11,20,22,25,26,38,39,40,41,58,59,70,78,82,83,89,96,97
4,8,16,18,35,38,42,43,46,47,58,60,64,71,72,82,87,89,93,97
0,5,18,19,21,25,33,43,46,47,51,60,64,68,73,75,80,81,85,96
1,10,18,22,24,26,41,43,44,46,49,54,55,57,64,79,82,89,96,97
1,5,7,11,17,19,24,33,36,42,51,53,55,59,60,61,73,80,81,99
15,17,18,21,24,25,41,43,46,49,54,55,66,68,75,85,89,92,94,96
10,20,22,41,45,46,50,55,59,68,70,74,75,78,79,82,87,89,96,97
18,19,20,21,24,25,28,40,49,51,54,55,57,59,61,75,83,85,92,96
