user_id,average_score_translation,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,country_10,runtime,year
bfe28199-ae60-41ee-8296-6c0ad1a5f237,10,Family,Music,Mystery,Action,Western,Fantasy,History,Comedy,Sport,Musical,Kenya,Panama,Argentina,Vietnam,Yugoslavia,United Arab Emirates,Czech Republic,Netherlands,West Germany,Romania,129,2002
e51aba7d-76b3-4781-852f-fea474674e34,-1,Musical,History,Romance,Biography,Animation,Music,Thriller,Family,Mystery,Crime,Poland,Switzerland,Thailand,Australia,Federal Republic of Yugoslavia,Russia,Greece,Italy,South Korea,Malta,90,2001
fd9a7eab-529f-427b-8cde-49a62263833f,10,Drama,Comedy,Horror,Sci-Fi,Mystery,Animation,Biography,Thriller,Sport,Musical,Romania,Brazil,Malta,Vietnam,Australia,Japan,United States,Aruba,Argentina,Iran,204,1996
425b92af-8faf-4e4a-bda3-26c1a5d3d9bc,-10,Action,Romance,Horror,Sport,Biography,Animation,Mystery,Family,Adventure,Sci-Fi,Chile,United Arab Emirates,Iceland,Finland,Indonesia,Aruba,Ireland,Republic of Macedonia,Switzerland,Colombia,108,1976
86278aff-e3ab-4517-a3f5-ad8654aeb6b6,5,Romance,Drama,Mystery,Comedy,Sport,History,Family,Crime,Fantasy,Action,Norway,Italy,United Kingdom,Hong Kong,Austria,Turkey,Denmark,France,Ireland,Finland,187,2002
c28116a9-0759-4788-b799-66d0d21afdd4,-5,Sport,Family,Action,History,Musical,Fantasy,Adventure,Crime,Thriller,Biography,Poland,United Kingdom,Hong Kong,Vietnam,Denmark,Panama,Lebanon,Canada,Malta,Federal Republic of Yugoslavia,164,1999
64f37796-79c2-4414-bb82-ee8cd1a3f0c6,0,Western,History,Horror,Fantasy,Thriller,Family,Biography,Sci-Fi,Adventure,Musical,Norway,Israel,Iceland,Australia,West Germany,Austria,Chile,Germany,Denmark,Portugal,163,2005
59061445-e0bd-4698-8f9f-6b0c93058e04,-3,Romance,Family,Music,Comedy,Fantasy,Action,Drama,Biography,Crime,Adventure,Soviet Union,Federal Republic of Yugoslavia,Greece,United States,Hungary,Republic of Macedonia,Argentina,France,Panama,Brazil,195,1998
fa19273c-98eb-4128-b6cf-4a362ed490eb,-3,Thriller,Biography,Adventure,Sport,Action,Music,Fantasy,Crime,Sci-Fi,Animation,Austria,South Africa,Hong Kong,Soviet Union,Thailand,Spain,Colombia,Mexico,Kenya,Iran,87,1994
ef23bcf6-de1d-4bba-bc1c-24c9cbf08820,-7,Horror,Comedy,Musical,Western,Sci-Fi,Music,Romance,Adventure,Action,History,Republic of Macedonia,Brazil,Poland,Colombia,Libya,Denmark,Iceland,Argentina,Chile,India,185,1999
b35fdc92-a7bd-4da1-842d-c27c63ccbc8f,-2,Sport,Musical,Romance,Mystery,Adventure,Comedy,Biography,Family,Fantasy,History,Czech Republic,Japan,Switzerland,Panama,United Arab Emirates,Aruba,Soviet Union,Malta,Austria,China,221,2017
ad219b65-6de4-4e19-b5ae-1625142435ad,6,Thriller,Comedy,Music,Horror,Action,Family,Fantasy,Sport,Musical,History,Federal Republic of Yugoslavia,Ireland,Norway,Iceland,Hungary,Republic of Macedonia,Spain,Sweden,South Korea,Chile,171,1991
12ee35c9-e220-4531-857d-374841ebfe0c,-9,Biography,Thriller,History,Drama,Adventure,Comedy,Musical,Crime,Romance,Fantasy,Hong Kong,United Arab Emirates,Federal Republic of Yugoslavia,Yugoslavia,Italy,Portugal,Romania,Spain,Turkey,Kenya,169,2013
af60cd36-c3d5-43b0-8a4e-b29a3e8fd99f,7,Action,Animation,Romance,Fantasy,Sport,History,Musical,Biography,Family,Adventure,Vietnam,Switzerland,Thailand,United Kingdom,Serbia,Brazil,Australia,Malta,Israel,France,176,2003
